,name,stars,rating,reviews_count,has_free_wifi,gallery_images_count,address,start_year,good_district
161,Apartment Generala Ermolova,,,,True,33,"Generala Ermolova 10/6, Дорогомилово, Москва, Россия",2017,False
162,Apartment Gruzinskiy Pereulok 6,,,,True,19,"6 Gruzinskiy pereulok, Пресненский, Москва, Россия",2017,True
163,Apartment In Strogino,,8.3,6,True,32,"Nemansky Proezd 3, Строгино, Москва, Россия",2016,False
164,Apartment on Bogoslovsky 3,,9.4,28,True,50,"Bogoslovsky pereulok 3, Пресненский, Москва, Россия",2016,True
165,Kakhovka 18/1 Apartment,,9.5,25,True,28,"Ulitsa Kakhovka 18, Bldg 1, Москва, Россия",2016,False
166,Apartment Klassika,,9.4,7,True,45,"24/32 ulitsa Zemlyanoy Val, Басманный, Москва, Россия",2017,True
167,Apartment Kolomenskaya 26,,,,True,36,"Prospekt Andropova  26, Москва, Россия",2016,False
168,Apartment Komsomolskiy Prospekt 11,,9.9,15,True,25,"Komsomolskiy Prospekt, 11, Хамовники, Москва, Россия",2016,False
169,Apartment Kozitskiy 1 A,,7.7,23,True,40,"Pereulok Kozitskiy 1A, Тверской, Москва, Россия",2015,True
170,Apartment Kozitsky per 1a,,7.9,67,True,92,"Kozitsky pereulok, 1a, Тверской, Москва, Россия",2016,True
171,Апартаменты на Славянском Бульваре,,8.7,15,True,37,"Улица Герасима Курина, 22, Москва, Россия",2016,False
172,Апартаменты Кутузофф на Метро Полежаевская,,9.7,39,True,39,"Хорошевское Шоссе, 88, Хорошевский, Москва, Россия",2016,False
173,Apartment Kutuzoff metro Sokol,,9.6,16,True,40,"23к1 Chasovaya ulitsa apt. 235, Аэропорт, Москва, Россия",2017,False
174,Apartment Kutuzovskiy 22,,8.8,24,True,32,"Kutuzovskiy Prospekt 22, Дорогомилово, Москва, Россия",2017,True
175,Апартаменты Lakshmi Арбат,,8.1,17,True,14,"Денежный Переулок 30, Арбат, Москва, Россия",2015,True
176,Apartment Loft style,,,,True,47,"Kronshtadtskiy bulvar 6 bldg.3, Москва, Россия",2017,False
177,Apartment Malaya Ostroumovskaya,,,,True,27,"Malaya Ostroumovskaya ul., 1, Сокольники, Москва, Россия",2015,False
178,Апартаменты Маши Порываевой - Комсомольская,,7.4,10,True,44,"Улица Маши Порываевой, Красносельский, Москва, Россия",2016,True
179,Apartment metro Bratislavskaya,,,,True,20,"8 Myachkovskiy bulvar, Москва, Россия",2017,False
180,Apartment Michael Sevostyanov,,7.2,19,True,14,"ul.Nahimovsky Avenue, D41 / 45, Block 1, Москва, Россия",2015,False
181,CITY4US HOROSHO,,8.8,13,True,48,"Khoroshevskoye Shosse , 12/1, Хорошевский, Москва, Россия",2015,False
182,Apartment na Akademika Koroleva,,8.5,34,True,79,"Akademika Koroleva, 8/1, Останкинский, Москва, Россия",2015,False
